timestamp;energy_used;solar_produced
1579910400;1.774;0
1579914000;3.626;0
1579917600;3.594;0
1579921200;2.081;0
1579924800;1.882;0
1579928400;2.894;0
1579932000;3.611;0
1579935600;2.769;0
1579939200;3.445;0.13
1579942800;3.705;0.31
1579946400;5.396;0.47
1579950000;4.105;0.54
1579953600;2.021;0.58
1579957200;1.397;0.48
1579960800;3.685;0.28
1579964400;4.553;0.05
1579968000;3.489;0
1579971600;2.73;0
1579975200;3.153;0
1579978800;3.28;0
1579982400;2.693;0
1579986000;1.399;0
1579989600;3.136;0
1579993200;3.864;0
1579996800;4.037;0
1580000400;2.476;0
1580004000;2.022;0
1580007600;3.972;0
1580011200;3.783;0
1580014800;2.922;0
1580018400;2.332;0
1580022000;3.596;0.01
1580025600;4.672;0.42
1580029200;4.475;1.38
1580032800;1.956;1.51
1580036400;2.112;1.58
1580040000;2.937;1.63
1580043600;3.403;1.42
1580047200;1.746;0.6
1580050800;1.535;0.1
1580054400;2.833;0
1580058000;3.794;0
1580061600;3.09;0
1580065200;1.629;0
1580068800;1.797;0
1580072400;3.843;0
1580076000;4.106;0
1580079600;1.745;0
1580083200;1.562;0
1580086800;2.334;0
1580090400;3.299;0
1580094000;2.411;0
1580097600;1.385;0
1580101200;1.771;0
1580104800;4.602;0
1580108400;4.485;0.01
1580112000;1.554;0.3
1580115600;1.491;0.33
1580119200;2.39;0.76
1580122800;3.258;0.67
1580126400;2.148;1.16
1580130000;1.416;0.9
1580133600;1.298;0.44
1580137200;3.288;0.22
1580140800;3.984;0.01
1580144400;2.628;0
1580148000;2.018;0
1580151600;2.602;0
1580155200;3.521;0
1580158800;2.514;0
1580162400;1.484;0
1580166000;1.567;0
1580169600;3.202;0
1580173200;3.227;0
1580176800;1.565;0
1580180400;1.395;0
1580184000;2.634;0
1580187600;3.658;0
1580191200;3.998;0
1580194800;3.503;0
1580198400;2.402;0.14
1580202000;3.502;0.63
1580205600;2.796;0.76
1580209200;1.538;1.13
1580212800;1.477;1.01
1580216400;3.352;1.03
1580220000;3.362;0.86
1580223600;1.65;0.12
1580227200;1.567;0.01
1580230800;2.933;0
1580234400;4.229;0
1580238000;2.756;0
1580241600;3.108;0
1580245200;3.219;0
1580248800;1.898;0
1580252400;1.616;0
1580256000;2.695;0
1580259600;3.407;0
1580263200;2.227;0
1580266800;1.47;0
1580270400;1.91;0
1580274000;3.561;0
1580277600;4.785;0
1580281200;2.963;0.03
1580284800;2.312;0.67
1580288400;3.23;1.33
1580292000;3.171;1.35
1580295600;1.404;1.37
1580299200;2.209;1.26
1580302800;2.867;1.24
1580306400;2.973;0.63
1580310000;2.029;0.2
1580313600;1.96;0.01
1580317200;1.595;0
1580320800;4.813;0
1580324400;2.831;0
1580328000;1.318;0
1580331600;1.603;0
1580335200;3.066;0
1580338800;3.446;0
1580342400;1.926;0
1580346000;1.463;0
1580349600;2.213;0
1580353200;3.281;0
1580356800;2.496;0
1580360400;1.517;0
1580364000;3.087;0
1580367600;4.369;0.02
1580371200;3.166;0.32
1580374800;1.497;1.17
1580378400;1.445;1.65
1580382000;2.411;2.05
